First name,Last name,Alias name,Mobile number,Email address,Seat,Region name,County,Constituency,Ward
John,Kamau,,713189101,johnkama45@gmail.com,Governor,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189102,johnkama45@gmail.com,Senator,Kabazi ward,Nakuru,Subukia,Kabazi
John,Kamau,,713189103,johnkama45@gmail.com,Governor,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189104,johnkama45@gmail.com,Senator,Kabazi ward,Nakuru,Subukia,Kabazi
John,Kamau,,713189105,johnkama45@gmail.com,Governor,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189106,johnkama45@gmail.com,Senator,Kabazi ward,Nakuru,Subukia,Kabazi
John,Kamau,,713189107,johnkama45@gmail.com,Governor,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189108,johnkama45@gmail.com,Senator,Kabazi ward,Nakuru,Subukia,Kabazi
John,Kamau,,713189109,johnkama45@gmail.com,Governor,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189110,johnkama45@gmail.com,Senator,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189111,johnkama45@gmail.com,Governor,Kabazi ward,Nakuru,Subukia,Kabazi
John,Kamau,,713189112,johnkama45@gmail.com,Senator,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189113,johnkama45@gmail.com,Governor,Kabazi ward,Nakuru,Subukia,Kabazi
John,Kamau,,713189114,johnkama45@gmail.com,Senator,Nakuru East Constituency,Nakuru,Subukia,Kabazi
John,Kamau,,713189117,johnkama45@gmail.com,MCA,Kabazi ward,Nakuru,Subukia,Kabazi
