First name,Last name,Phone number,Email address,Country,Date of birth,Gender,County,Constituency,Ward
John,Kamau,254713189101,johnkama45@gmail.com,Kenya,1993-10-10,Female,Nakuru,Subukia,Kabazi
John,Kamau,254713189102,johnkama45@gmail.com,Kenya,1995-10-10,Male,Nakuru,Subukia,Kabazi
Mark,Mwangi,254713189103,johnkama45@gmail.com,Kenya,1985-10-10,Male,Nakuru,Subukia,Kabazi
John,Kamau,254713189104,johnkama45@gmail.com,Kenya,1993-10-10,Female,Nakuru,Subukia,Kabazi
Mark,Mwangi,254713189105,johnkama45@gmail.com,Kenya,1995-10-10,Female,Nakuru,Subukia,Kabazi
John,Kamau,254713189105,johnkama45@gmail.com,Kenya,1987-10-10,Female,Nakuru,Subukia,Kabazi
Mark,Mwangi,254713189106,johnkama45@gmail.com,Kenya,1992-10-10,Male,Nakuru,Subukia,Kabazi
Mary,Muthoni,254713189107,email@gmail.com,Kenya,1977-10-10,Female,Nakuru,Subukia,Kabazi
Joel,Mukami,254713189108,funnyemail@gmal.com,Kenya,1992-10-10,Female,Nakuru,Subukia,Kabazi
Jerono,Tembu,254713189109,jeytembu@gmail.com,Kenya,1987-10-10,Female,Nakuru,Subukia,Kabazi
